1,8,4,2
2,2,7,2
3,6,6,4
4,8,8,7
5,7,8,3
6,1,8,2
7,3,6,8
8,5,7,5
9,4,2,8
10,7,7,4
11,8,5,5
12,7,4,6
13,2,3,3
14,5,1,1
15,2,4,5
16,6,2,4
17,6,7,2
18,7,7,8
19,4,2,6
20,2,1,4
21,7,5,1
22,4,2,8
23,7,3,1
24,8,5,3
25,5,1,3
26,2,6,7
27,5,5,8
28,1,1,7
29,8,1,1
30,1,5,2
31,8,8,5
32,6,4,6
33,1,4,5
34,1,4,8
35,1,8,6
36,1,1,1
37,3,4,1
38,3,5,4
39,7,1,1
40,4,8,7
41,3,6,1
42,5,8,5
43,1,5,7
44,7,7,5
45,2,5,6
46,6,8,8
47,5,7,1
48,8,6,5
49,3,7,3
50,4,1,1
51,7,2,4
52,8,2,3
53,4,3,8
54,6,8,7
55,2,2,8
56,2,6,7
57,4,8,8
58,1,7,3
59,7,2,2
60,8,3,7
61,1,7,5
62,2,2,1
63,5,2,1
64,4,4,1
65,7,6,2
66,1,5,1
67,2,4,3
68,4,8,4
69,4,4,4
70,8,6,4
71,4,2,1
72,3,1,4
73,1,7,4
74,2,7,5
75,4,1,7
76,8,4,3
77,7,4,8
78,1,1,7
79,1,1,5
80,2,3,2
81,5,7,6
82,4,5,2
83,6,6,1
84,8,2,2
85,2,6,1
86,7,5,2
87,8,1,1
88,6,2,5
89,5,5,8
90,6,3,3
91,8,4,3
92,6,6,5
93,8,1,4
94,8,3,2
95,6,3,3
96,8,1,5
97,6,6,5
98,8,5,4
99,2,7,8
100,2,6,7
101,7,4,6
102,2,4,5
103,1,8,7
104,1,8,2
105,1,4,1
106,3,5,8
107,4,7,1
108,2,6,7
109,5,4,8
110,1,6,7
111,6,7,6
112,7,6,7
113,6,6,8
114,3,4,8
115,4,6,1
116,4,5,1
117,6,3,6
118,1,8,1
119,2,1,5
120,2,7,3
121,3,1,4
122,1,4,7
123,3,2,4
124,7,8,1
125,5,2,8
126,4,3,2
127,2,3,6
128,5,7,8
129,1,3,2
130,6,3,5
131,1,1,4
132,1,1,5
133,5,8,6
134,2,8,7
135,5,2,5
136,4,6,2
137,7,1,6
138,1,8,3
139,8,6,4
140,1,3,2
141,2,8,4
142,3,4,5
143,4,3,7
144,1,8,3
145,7,2,5
146,2,2,1
147,2,5,7
148,2,4,2
149,5,8,6
150,6,4,7
151,8,1,4
152,6,5,5
153,7,7,1
154,6,4,1
155,3,7,3
156,2,1,7
157,8,1,8
158,7,1,1
159,4,1,4
160,4,8,2
161,2,2,6
162,6,4,7
163,6,3,5
164,1,3,6
165,5,3,2
166,5,1,3
167,1,8,7
168,4,8,5
169,1,8,3
170,7,4,5
171,8,7,6
172,8,5,7
173,1,6,8
174,2,4,3
175,4,8,7
176,5,1,8
177,7,4,3
178,7,3,5
179,8,1,2
180,5,1,5
181,7,3,2
182,3,5,3
183,6,1,6
184,3,1,8
185,2,2,8
186,6,3,7
187,6,2,1
188,7,4,4
189,7,4,1
190,3,7,4
191,6,1,6
192,8,4,8
193,1,8,8
194,8,6,5
195,4,7,6
196,3,2,7
197,2,7,4
198,7,6,4
199,5,8,1
200,4,6,6
201,5,8,5
202,3,2,8
203,6,7,8
204,2,8,3
205,1,6,5
206,7,5,2
207,2,5,1
208,1,4,8
209,5,6,6
210,2,5,4
211,2,8,3
212,2,7,7
213,6,4,2
214,3,3,6
215,6,5,1
216,7,4,8
217,4,6,7
218,6,7,7
219,5,6,1
220,2,2,7
221,5,4,1
222,6,1,5
223,4,4,2
224,3,7,7
225,4,8,6
226,6,1,7
227,2,1,4
228,3,6,5
229,8,3,4
230,7,3,4
231,6,1,5
232,6,2,2
233,4,5,2
234,1,1,4
235,8,5,5
236,4,5,8
237,7,5,1
238,6,5,3
239,7,5,3
240,1,8,7
241,4,7,6
242,4,1,8
243,4,8,3
